sources,Breast Cancer,Chronic Obstructive Pulmonary Disease,Covid-19,Diabetes Mellitus,Healthy Volunteers,Knee Osteoarthritis,Mental Issues,O- Medical and Surgical,Pain,Stroke
ACTRN,0.0,0.0,2.0,1.0,,-1.0,1.0,,4.0,-2.0
CTRI,-1.0,-2.0,0.0,-5.0,,-1.0,,-4.0,-2.0,0.0
ChiCTR,0.0,0.0,-15.0,-2.0,0.0,-2.0,0.0,,0.0,-2.0
DRKS,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,,0.0,0.0
EUCTR,0.0,0.0,2.0,-1.0,0.0,0.0,,,0.0,0.0
IRCT,0.0,0.0,0.0,-2.0,0.0,-1.0,-2.0,,-1.0,0.0
ISRCTN,0.0,-1.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0
JPRN,0.0,0.0,0.0,-1.0,-17.0,0.0,-4.0,,-1.0,-1.0
LBCTR,0.0,,0.0,,,,0.0,,,
NCT,-18.0,-9.0,4.0,-8.0,-7.0,-1.0,-7.0,,-7.0,-6.0
NTR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.0
PACTR,,,0.0,0.0,0.0,,,,,
REBEC,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,,0.0,0.0
RPCEC,,,0.0,0.0,,,0.0,,,
SLCTR,,,0.0,0.0,,,0.0,,,0.0
TCTR,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,,0.0,0.0
