Source,Target,Attribute,Type
1,2,Intervention,Directed
1,3,Intervention,Directed
1,4,Pubmed_Article,Directed
1,5,Pubmed_Article,Directed
1,6,Intervention,Directed
1,7,Intervention,Directed
1,8,Intervention,Directed
1,9,Condition,Directed
1,10,Intervention,Directed
1,11,Condition,Directed
1,12,Intervention,Directed
1,13,Intervention,Directed
1,14,Intervention,Directed
1,15,Intervention,Directed
1,16,Pubmed_Article,Directed
1,17,Intervention,Directed
1,18,Intervention,Directed
1,19,Intervention,Directed
1,20,Intervention,Directed
1,21,Pubmed_Article,Directed
1,22,Intervention,Directed
1,23,Intervention,Directed
1,24,Pubmed_Article,Directed
1,25,Intervention,Directed
1,26,Pubmed_Article,Directed
1,27,Intervention,Directed
1,28,Pubmed_Article,Directed
1,29,Intervention,Directed
1,30,Pubmed_Article,Directed
1,31,Pubmed_Article,Directed
1,32,Intervention,Directed
1,33,Condition,Directed
1,34,Intervention,Directed
1,35,Intervention,Directed
1,36,Intervention,Directed
1,37,Intervention,Directed
1,38,Intervention,Directed
1,39,Intervention,Directed
1,40,Intervention,Directed
1,41,Intervention,Directed
1,42,Pubmed_Article,Directed
1,43,Intervention,Directed
1,44,Intervention,Directed
1,45,Intervention,Directed
1,46,Pubmed_Article,Directed
1,47,Pubmed_Article,Directed
1,48,Pubmed_Article,Directed
1,49,Intervention,Directed
1,50,Pubmed_Article,Directed
1,51,Pubmed_Article,Directed
1,52,Pubmed_Article,Directed
1,53,Intervention,Directed
1,54,Intervention,Directed
1,55,Condition,Directed
1,56,Intervention,Directed
1,57,Condition,Directed
1,58,Intervention,Directed
1,59,Intervention,Directed
1,60,Pubmed_Article,Directed
1,61,Intervention,Directed
