ID,Label,Attribute
1,"https://clinicaltrials.gov/ct2/show/NCT00106691
",trial
2,"http://id.nlm.nih.gov/mesh/2022/T056880
",Condition
3,"http://id.nlm.nih.gov/mesh/2022/T051705
",Intervention
4,"http://id.nlm.nih.gov/mesh/2022/T006559
",Condition
5,"http://id.nlm.nih.gov/mesh/2022/T020311
",Intervention
6,"http://id.nlm.nih.gov/mesh/2022/T006549
",Condition
7,"http://id.nlm.nih.gov/mesh/2022/T358117
",Intervention
8,"http://id.nlm.nih.gov/mesh/2022/T056421
",Intervention
9,"http://id.nlm.nih.gov/mesh/2022/T027953
",Condition
10,"http://id.nlm.nih.gov/mesh/2022/T020306
",Intervention
11,"http://id.nlm.nih.gov/mesh/2022/T002984
",Intervention
12,"http://id.nlm.nih.gov/mesh/2022/T033081
",Condition
13,"http://id.nlm.nih.gov/mesh/2022/T358354
",Intervention
14,"http://id.nlm.nih.gov/mesh/2022/T027926
",Condition
15,"http://id.nlm.nih.gov/mesh/2022/T538909
",Intervention
16,"http://id.nlm.nih.gov/mesh/2022/T609256
",Intervention
17,"https://pubmed.ncbi.nlm.nih.gov/23295793
",Pubmed_Article
18,"http://id.nlm.nih.gov/mesh/2022/T027930
",Condition
