Source,Target,Attribute,Type
1,2,Intervention,Directed
1,3,Intervention,Directed
1,4,Intervention,Directed
1,5,Intervention,Directed
1,6,Condition,Directed
1,7,Condition,Directed
1,8,Intervention,Directed
1,9,Intervention,Directed
1,10,Intervention,Directed
1,11,Condition,Directed
1,12,Condition,Directed
1,13,Intervention,Directed
1,14,Pubmed_Article,Directed
1,15,Intervention,Directed
1,16,Intervention,Directed
1,17,Intervention,Directed
1,18,Condition,Directed
1,19,Intervention,Directed
1,20,Condition,Directed
1,21,Intervention,Directed
1,22,Intervention,Directed
1,23,Intervention,Directed
