ID,Label,Attribute
1,"https://clinicaltrials.gov/ct2/show/NCT04336891
",trial
2,"http://id.nlm.nih.gov/mesh/2022/T015123
",Intervention
3,"http://id.nlm.nih.gov/mesh/2022/T000949835
",Intervention
4,"http://id.nlm.nih.gov/mesh/2022/T026179
",Intervention
5,"http://id.nlm.nih.gov/mesh/2022/T020308
",Intervention
6,"http://id.nlm.nih.gov/mesh/2022/T635135
",Condition
7,"http://id.nlm.nih.gov/mesh/2022/T012740
",Condition
8,"http://id.nlm.nih.gov/mesh/2022/T009567
",Intervention
9,"http://id.nlm.nih.gov/mesh/2022/T542910
",Intervention
10,"http://id.nlm.nih.gov/mesh/2022/T020311
",Intervention
11,"http://id.nlm.nih.gov/mesh/2022/T004427
",Condition
12,"http://id.nlm.nih.gov/mesh/2022/T030516
",Condition
13,"http://id.nlm.nih.gov/mesh/2022/T056421
",Intervention
14,"https://pubmed.ncbi.nlm.nih.gov/34118018
",Pubmed_Article
15,"http://id.nlm.nih.gov/mesh/2022/T015160
",Intervention
16,"http://id.nlm.nih.gov/mesh/2022/T040348
",Intervention
17,"http://id.nlm.nih.gov/mesh/2022/T538909
",Intervention
18,"http://id.nlm.nih.gov/mesh/2022/T059652
",Condition
19,"http://id.nlm.nih.gov/mesh/2022/T002188
",Intervention
20,"http://id.nlm.nih.gov/mesh/2022/T013469
",Condition
21,"http://id.nlm.nih.gov/mesh/2022/T036013
",Intervention
22,"http://id.nlm.nih.gov/mesh/2022/T009565
",Intervention
23,"http://id.nlm.nih.gov/mesh/2022/T002984
",Intervention
