"id_","labels_"
1,ACTRN12615000463572
2,ACTRN12616001349437
3,ACTRN12619000044123
4,ISRCTN10386599
5,ISRCTN13287728
6,ISRCTN44468346
7,ISRCTN64254080
8,NCT00047996
9,NCT00106691
10,NCT00135889
11,NCT00191932
12,NCT00305175
13,NCT00325923
14,NCT00400075
15,NCT00403195
16,NCT00519129
17,NCT00543387
18,NCT00612794
19,NCT00667251
20,NCT00768222
21,NCT00797628
22,NCT00914199
23,NCT00930683
24,NCT00981006
25,NCT00998764
26,NCT01031784
27,NCT01036308
28,NCT01039012
29,NCT01056406
30,NCT01058174
31,NCT01108939
32,NCT01119274
33,NCT01266122
34,NCT01333241
35,NCT01334307
36,NCT01423188
37,NCT01518218
38,NCT01616732
39,NCT01660854
40,NCT01670565
41,NCT01709643
42,NCT01774955
43,NCT01779076
44,NCT01868477
45,NCT01900197
46,NCT01907373
47,NCT02096718
48,NCT02125032
49,NCT02219451
50,NCT02224222
51,NCT02262442
52,NCT02278250
53,NCT02346370
54,NCT02356237
55,NCT02366195
56,NCT02440178
57,NCT02459678
58,NCT02464618
59,NCT02486757
60,NCT02659033
61,NCT02686216
62,NCT02782910
63,NCT02898584
64,NCT02932852
65,NCT02948088
66,NCT02987972
67,NCT03023189
68,NCT03036150
69,NCT03064971
70,NCT03065842
71,NCT03203265
72,NCT03218007
73,NCT03384108
74,NCT03443817
75,NCT03679247
76,NCT03759938
77,NCT03773822
78,NCT03934957
79,NCT04123028
80,NCT04336891
81,NCT04822012
82,ACTRN12614000488606
83,DRKS00000591
84,DRKS00005025
85,DRKS00005617
86,DRKS00013555
87,IRCT201204289568N1
88,ISRCTN14279335
89,ISRCTN27114642
90,ISRCTN33957202
91,ISRCTN34806867
92,ISRCTN57874028
93,ISRCTN70904476
94,ISRCTN80061723
95,ISRCTN85411059
96,ISRCTN88392614
97,ISRCTN92089567
98,NCT00000559
99,NCT00128973
100,NCT00221364
101,NCT00317772
102,NCT00317993
103,NCT00327197
104,NCT00367224
105,NCT00452049
106,NCT00457834
107,NCT00467649
108,NCT00543127
109,NCT00576329
110,NCT00589875
111,NCT00622700
112,NCT00634374
113,NCT00640978
114,NCT00661505
115,NCT00855023
116,NCT00883025
117,NCT00887380
118,NCT00928018
119,NCT01013220
120,NCT01015248
121,NCT01051570
122,NCT01070004
123,NCT01176188
124,NCT01220596
125,NCT01249391
126,NCT01264757
127,NCT01314027
128,NCT01315678
129,NCT01341093
130,NCT01375257
131,NCT01419925
132,NCT01477372
133,NCT01552369
134,NCT01582750
135,NCT01633918
136,NCT01741363
137,NCT01763281
138,NCT01839331
139,NCT01872520
140,NCT01928719
141,NCT01944813
142,NCT01951274
143,NCT02052089
144,NCT02112669
145,NCT02125942
146,NCT02161380
147,NCT02197702
148,NCT02396355
149,NCT02407236
150,NCT02424630
151,NCT02437669
152,NCT02463864
153,NCT02465502
154,NCT02520843
155,NCT02591979
156,NCT02742727
157,NCT02835807
158,NCT02879799
159,NCT02890381
160,NCT02926482
161,NCT02930980
162,NCT02940483
163,NCT03001791
164,NCT03058406
165,NCT03129503
166,NCT03216395
167,NCT03227471
168,NCT03228329
169,NCT03249896
170,NCT03292328
171,NCT03393195
172,NCT03490747
173,NCT03508713
174,NCT03530059
175,NCT03548220
176,NCT03687957
177,NCT03735186
178,NCT03775603
179,NCT04015583
180,NCT04214210
181,NCT04241926
182,NCT04295603
183,NCT04362514
184,NCT04416594
185,NCT04638023
186,NCT04677270
187,NCT04907383
188,NCT05030753
189,RBR-76tbqs
190,ACTRN12614001240639
191,ChiCTR2000030872
192,ChiCTR2000030963
193,ChiCTR-IPR-17011678
194,ChiCTR-OCH-14004904
195,ChiCTR-ONC-12003124
196,CTRI/2012/11/003129
197,DRKS00016720
198,DRKS00019023
199,ISRCTN16789770
200,ISRCTN30949871
201,ISRCTN44202346
202,ISRCTN51046698
203,ISRCTN55562827
204,NCT00012558
205,NCT00046020
206,NCT00048932
207,NCT00079716
208,NCT00189033
209,NCT00210847
210,NCT00213551
211,NCT00282373
212,NCT00292279
213,NCT00300729
214,NCT00310791
215,NCT00321490
216,NCT00322153
217,NCT00354549
218,NCT00365430
219,NCT00397189
220,NCT00498940
221,NCT00523185
222,NCT00562536
223,NCT00586976
224,NCT00618332
225,NCT00669643
226,NCT00678379
227,NCT00685659
228,NCT00747656
229,NCT00774566
230,NCT00094575
231,NCT01142349
232,NCT04401579
233,NCT02958228
234,NCT02094313
235,NCT01081457
236,NCT03629457
237,NCT01056341
238,"26171392"
239,"30969174"
240,"33807296"
241,"24438582"
242,"28427442"
243,"20008946"
244,"26250060"
245,"33661274"
246,"23295793"
247,"19299806"
248,"18362603"
249,"18312043"
250,"23255310"
251,"22360576"
252,"21921042"
253,"20230905"
254,"18714075"
255,"25153486"
256,"19933192"
257,"21481862"
